sample_id,episode,variation_id,score,D_min,label,completed,collided,progress_ratio,qp_failures,mean_abs_cte,min_obstacle_clearance,min_barrier_clearance,class_k_p,class_k_q
75,0,75,168.57706243090755,0.21400014472178241,1,True,False,1.0,0,0.23715626151540908,0.21400014472178241,0.4956048841991099,1.3505530825017176,2.3920640302800695
76,0,76,13.637983502657098,0.024667881919692977,-1,False,False,0.28534159465188325,0,1.0559880204957883,0.12898325070625283,0.024667881919692977,0.35172016376343745,2.0732861239766396
77,0,77,168.88922346327584,0.14326026165598033,1,True,False,1.0,0,0.18512942278736075,0.14326026165598033,0.3036258454014129,2.965261953632722,1.8775889894184707
78,0,78,61.625418711940654,-0.09419204840085856,1,False,False,0.9563019729333115,0,0.6789365859863663,0.07997462292542244,-0.09419204840085856,2.344851417048452,2.437433558615476
79,0,79,166.76737243154327,-0.0020398036109067347,1,True,False,1.0,0,0.5386741761047947,-0.0020398036109067347,0.14638460794303781,0.5295966331216007,1.1762062312946153
80,0,80,-5.624509217664334,0.05924335669725404,-1,False,False,0.031958258601010925,0,1.3102645532891832,3.8649844495139867,0.05924335669725404,0.27641047059586743,0.41154892159899514
81,0,81,51.949062929491504,0.18901441328109303,-1,False,False,0.7831403880645688,0,0.4784607058380514,0.18901441328109303,0.4273691643458446,0.29060806455182225,2.314021673672598
82,0,82,-7771.625362068813,0.07292038347677336,-1,False,False,0.11446274254035546,2593,0.10629234110632466,0.07292038347677336,1.0868351228497144,6.734169123301411,0.5472926312836738
83,0,83,168.6293913461199,0.12496232608244305,1,True,False,1.0,0,0.2284347756466873,0.12496232608244305,0.310231504642867,2.0600523623473825,1.3542322887571747
84,0,84,167.5134616377998,-0.027117498379982022,1,True,False,1.0,0,0.3972646902709711,-0.027117498379982022,0.10734554625070473,1.9682875641285258,1.7504050145399392
85,0,85,167.76725254254862,0.20697681736284634,1,True,False,1.0,0,0.37212457624189493,0.20697681736284634,0.46783188645723356,0.4648566387578665,2.414971858420205
86,0,86,166.31600655036303,0.0030676511007062673,1,True,False,1.0,0,0.6139989082728302,0.0030676511007062673,0.03221982967698166,1.0320730279634904,1.6818218807027951
87,0,87,168.6088578780524,0.08102765806436367,1,True,False,1.0,0,0.2318570203246014,0.08429208677421128,0.08102765806436367,2.411627049030663,0.7045566723213206
88,0,88,27.02141461164785,0.3924436355219493,-1,False,False,0.4257296592206098,0,0.46327692229913936,0.3924436355219493,0.4256394826751021,0.13634047279410072,1.2053370116955449
89,0,89,168.96647298958663,0.10979028271872192,1,True,False,1.0,0,0.1722545017355611,0.10979028271872192,0.2545394880145021,4.598320066637006,2.0934879342418977
